Register,T0 ,T1 ,T2 ,T3 ,T4 
R0,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) 
R1,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) 
R2,+0 (None) ,+0 (None) ,+4 (alu_1) ,+6 (alu_2) 
R3,+0 (None) ,+2 (alu_0) ,+2 (alu_0) ,+2 (alu_0) 
R4,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) 
