Register,T0 ,T1 ,T2 ,T3 ,T4 ,T5 ,T6 ,T7 ,T8 ,T9 ,T10 ,T11 ,T12 ,T13 ,T14 ,T15 ,T16 
R0,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) 
R1,+0 (None) ,+6 (mult_0) ,+12 (mult_1) ,+18 (mult_0) ,+24 (mult_1) ,+30 (mult_0) ,+6 (mult_1) ,+12 (mult_0) ,+18 (mult_1) ,+24 (mult_0) ,+30 (mult_1) ,+6 (mult_0) ,+12 (mult_1) ,+18 (mult_0) ,+24 (mult_1) ,+30 (mult_0) 
R2,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) 
R3,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) 
R4,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) 
R5,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) 
R6,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) 
R7,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) 
R8,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) 
R9,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) ,+0 (None) 
